,Consumo,Motor_CC,Potencia,Descuento,Precio_cat,Ciudad_B,Ciudad_C,Ciudad_D,Ciudad_E,Ciudad_F,Ciudad_G,Ciudad_H,Ciudad_I,Ciudad_J,Ciudad_K,Ciudad_L,Tipo_marchas_Automatic,Tipo_marchas_Manual
19,14.16,1968.0,174.3,0.0,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,18.6,1199.0,76.8,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,17.43,1396.0,105.5,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
22,18.0,1497.0,117.3,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,15.7,1390.0,75.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,16.0,2179.0,140.0,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,21.43,1364.0,87.2,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,21.64,1461.0,84.8,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,20.73,1373.0,91.1,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,14.0,796.0,35.0,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,12.99,2494.0,100.6,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,17.9,2143.0,136.0,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0
31,28.4,1248.0,73.75,8.36,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,15.96,2523.0,62.1,10.32,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,23.65,1248.0,88.5,0.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1
35,20.36,1197.0,78.9,0.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,21.9,1396.0,90.0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,12.99,2494.0,100.6,0.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,22.95,1248.0,74.0,8.34,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,17.5,1373.0,80.46,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1
42,17.57,1193.0,88.7,6.62,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,21.27,1396.0,88.76,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,17.3,1497.0,117.3,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
46,18.9,1197.0,81.86,7.45,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
48,24.0,1120.0,70.0,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,11.0,2987.0,198.5,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,18.9,998.0,67.1,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
51,13.0,1591.0,121.3,0.0,4.0,0,0,0,0,0,0,0,0,0,0,1,1,0
52,16.47,1198.0,74.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1
53,17.21,1493.0,100.0,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,13.6,2523.0,63.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
55,28.4,1248.0,74.0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,26.59,1248.0,74.0,0.0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0
58,14.74,2993.0,270.9,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
59,23.84,1199.0,84.0,6.59,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
61,14.53,1794.0,138.1,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0
62,21.5,1197.0,81.8,5.88,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1
63,18.9,1197.0,82.0,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
64,11.8,2993.0,180.0,0.0,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
65,15.73,1968.0,174.33,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0
68,17.11,1968.0,174.33,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0
69,11.5,2982.0,171.0,0.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,20.45,1461.0,83.8,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,17.1,1591.0,121.4,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0
72,22.74,796.0,47.3,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,21.76,1995.0,190.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,1,0
77,23.84,1199.0,83.83,7.17,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0
78,15.1,2179.0,140.0,0.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1
79,24.07,998.0,67.1,4.48,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,17.9,2143.0,136.0,0.0,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
82,22.77,1498.0,98.59,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1
83,14.6,1368.0,112.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1
84,11.7,1796.0,178.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
85,20.36,1197.0,78.9,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
86,20.85,1197.0,83.14,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
87,15.4,1590.0,94.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
88,19.81,1086.0,68.05,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
89,25.2,1248.0,74.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
90,19.27,2143.0,170.0,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0
91,17.0,1591.0,121.3,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0
92,18.88,1995.0,184.0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,14.0,2179.0,138.1,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1
94,22.32,1582.0,126.3,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,18.0,1248.0,75.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
96,20.0,1968.0,108.5,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
97,12.05,1995.0,154.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0
98,20.86,1199.0,73.9,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,17.0,1497.0,118.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
103,16.1,1298.0,88.2,0.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1
104,15.87,2993.0,308.43,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0
105,17.01,1591.0,121.3,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1
106,18.7,1199.0,88.7,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,20.77,1248.0,88.76,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1
108,19.3,1248.0,73.9,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
109,16.02,1373.0,93.7,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
110,19.7,796.0,46.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1
111,16.6,1998.0,112.0,0.0,5.0,0,0,0,0,0,1,0,0,0,0,0,1,0
112,19.4,1198.0,86.8,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1
114,17.57,1193.0,88.7,8.09,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
115,18.6,1197.0,81.83,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
116,24.0,1120.0,70.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
118,12.55,2982.0,168.5,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0
120,19.4,1198.0,86.8,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
121,22.9,1248.0,74.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
122,24.4,1120.0,71.0,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
123,11.1,2354.0,142.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0
124,15.97,2993.0,258.0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0
125,27.3,1498.0,98.6,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
127,16.47,1198.0,74.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
128,14.84,2143.0,167.62,0.0,4.0,0,0,1,0,0,0,0,0,0,0,0,1,0
129,12.8,2494.0,102.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
130,14.53,1798.0,138.1,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
131,12.99,2494.0,100.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
132,20.3,998.0,68.05,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
133,13.5,1799.0,130.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
134,14.3,1598.0,103.52,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0
136,14.84,2143.0,170.0,0.0,5.0,0,0,0,0,0,1,0,0,0,0,0,1,0
137,17.45,1493.0,100.0,10.52,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
138,17.0,1591.0,121.3,11.19,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1
139,12.7,2609.0,116.6,0.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1
141,14.74,1991.0,181.03,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0
142,12.8,2494.0,102.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1
143,22.3,1248.0,74.0,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
144,13.93,2179.0,138.1,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
145,19.6,1461.0,108.45,15.05,4.0,0,0,0,0,0,0,0,0,0,1,0,1,0
147,11.0,2993.0,235.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
148,24.3,1248.0,88.5,9.12,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
149,12.05,2179.0,120.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
150,17.0,1197.0,80.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1
153,17.0,1197.0,80.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
154,15.04,1598.0,103.6,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
155,18.88,1995.0,184.0,0.0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0
156,18.0,1497.0,117.3,14.67,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0
158,13.6,2523.0,63.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1
159,19.7,796.0,46.3,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
160,13.1,2499.0,141.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
161,25.01,1498.0,89.75,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
162,11.5,2982.0,169.0,0.0,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
163,14.6,1368.0,88.7,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
164,18.9,998.0,67.1,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
165,19.4,1198.0,86.8,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
166,18.5,1198.0,86.8,6.23,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
167,16.73,1995.0,218.0,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,1,0
168,19.1,1197.0,85.8,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
169,17.0,1591.0,121.3,13.6,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1
170,19.87,1461.0,83.8,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
171,23.4,1248.0,74.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
172,17.01,1582.0,126.2,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,1,0
173,17.11,1968.0,174.33,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
174,18.9,998.0,67.1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1
175,15.3,1341.0,61.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1
177,18.0,995.0,62.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1
178,17.92,1086.0,62.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1
179,21.1,1248.0,73.9,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
180,22.9,1248.0,74.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
181,10.5,2835.0,107.2,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
182,20.65,1248.0,88.7,10.06,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1
183,19.4,1198.0,86.8,0.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1
184,17.01,1582.0,126.2,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0
185,11.72,2199.0,194.3,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
187,22.7,1598.0,118.0,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,1
188,15.1,1196.0,73.0,4.71,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1
189,16.07,1995.0,181.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
190,19.16,2494.0,158.2,0.0,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
191,19.4,1198.0,86.8,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
192,22.7,1498.0,89.84,0.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1
193,18.5,1197.0,82.85,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
194,16.0,2179.0,140.0,0.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1
195,21.9,1396.0,88.76,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
196,11.33,4134.0,335.2,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
197,18.0,1198.0,86.7,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
198,14.8,1799.0,130.2,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
199,11.7,1796.0,178.0,0.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1
201,17.9,2143.0,201.15,79.43,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0
202,18.9,1197.0,82.0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
203,21.1,1197.0,85.8,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
204,18.6,1197.0,85.8,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
205,17.4,1497.0,117.3,12.68,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1
206,10.5,2179.0,120.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1
207,10.0,2148.0,170.0,0.0,5.0,0,0,0,0,0,1,0,0,0,0,0,1,0
208,22.7,1498.0,89.84,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
209,18.56,1995.0,190.0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0
210,15.1,2179.0,140.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1
211,16.0,2179.0,140.0,0.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,1
212,18.12,1995.0,190.0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0
213,16.47,1198.0,73.9,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1
214,16.07,1995.0,181.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0
215,17.01,1591.0,121.3,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1
216,24.0,1120.0,70.0,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
217,16.0,2179.0,140.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1
218,15.6,1896.0,106.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0
219,22.3,1248.0,74.0,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
220,16.5,1198.0,86.8,8.05,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0
222,19.1,1197.0,81.86,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
223,26.6,998.0,58.16,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1
224,17.5,1197.0,85.8,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1
225,27.62,793.0,47.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
226,13.68,2393.0,147.8,23.06,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1
227,23.5,1498.0,88.7,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
228,28.09,1248.0,88.5,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
229,14.84,2143.0,170.0,0.0,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0
230,18.7,1199.0,88.7,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
231,20.36,1197.0,78.9,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
232,21.9,1396.0,90.0,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
233,17.0,1197.0,80.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
234,18.9,1197.0,82.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0
235,20.51,998.0,67.04,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
236,17.0,1198.0,73.75,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
237,17.68,1968.0,174.33,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0
238,21.76,1995.0,190.0,62.11,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0
239,27.3,1498.0,98.6,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
240,18.6,1197.0,81.86,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
242,18.6,1197.0,81.83,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1
243,16.0,2179.0,140.0,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1
244,21.43,1364.0,86.79,19.27,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
245,22.71,1461.0,84.8,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
246,22.9,1248.0,74.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
247,23.9,624.0,37.48,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
248,21.14,1498.0,103.52,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
249,18.33,1968.0,167.7,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,1,0
250,16.55,1968.0,147.51,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,1,0
251,15.5,1198.0,86.7,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0
252,17.8,1199.0,76.8,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1
253,23.65,1248.0,88.5,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
254,14.3,1798.0,160.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
255,22.7,1582.0,126.24,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
256,20.51,998.0,67.04,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
257,17.4,1497.0,117.3,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1
258,23.8,1998.0,112.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,1,0
259,17.3,1061.0,64.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1
261,17.0,2200.0,139.01,0.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1
262,21.1,814.0,55.2,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
263,25.8,1498.0,98.6,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
264,19.08,1582.0,126.32,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0
266,20.36,1197.0,78.9,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
267,15.64,1798.0,167.62,0.0,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0
268,20.54,1598.0,103.6,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
269,19.67,1582.0,126.2,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1
270,13.7,1798.0,157.75,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,1,0
271,12.05,2179.0,120.0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
272,11.3,2360.0,170.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0
273,12.8,2494.0,102.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
274,17.0,1497.0,118.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
276,18.6,1197.0,81.83,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
277,15.04,1598.0,103.6,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
278,22.54,1396.0,88.73,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
279,28.4,1248.0,74.0,8.26,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
280,13.7,1798.0,157.75,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0
281,16.47,1198.0,74.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
282,15.26,1798.0,187.74,56.97,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
283,22.7,1498.0,89.84,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
284,19.3,1968.0,141.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0
285,12.4,1998.0,132.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1
286,23.2,1248.0,73.94,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
287,15.1,2179.0,140.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1
288,15.3,1341.0,83.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1
289,15.04,1991.0,183.0,0.0,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
290,18.2,1199.0,82.4,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1
291,20.3,1248.0,75.0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1
292,16.5,1198.0,86.8,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0
293,17.3,1061.0,57.5,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
294,15.29,1591.0,121.3,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1
295,23.4,1248.0,74.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
296,8.0,4806.0,394.3,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0
297,18.2,1199.0,88.7,9.1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1
298,13.7,1997.0,153.86,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,1,0
299,15.5,1198.0,86.7,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0
300,24.5,1498.0,98.6,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
301,22.7,1582.0,126.24,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1
302,19.6,1461.0,108.45,15.01,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1
303,19.1,1197.0,81.86,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
304,18.9,998.0,67.1,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
305,15.5,1896.0,105.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0
306,22.9,1248.0,74.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
307,13.68,2393.0,147.8,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1
308,18.0,1497.0,117.3,0.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0
309,16.2,1599.0,103.2,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
310,13.33,2995.0,340.0,1.36,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0
311,17.68,1968.0,174.33,0.0,5.0,0,0,0,0,0,0,0,1,0,0,0,1,0
312,12.6,1950.0,191.34,86.97,5.0,0,0,0,0,0,0,1,0,0,0,0,1,0
314,22.3,1248.0,74.0,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1
315,23.1,998.0,67.04,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1
